Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
,,,,,,,,
Desert,Methyl jasmonate,10,129,24,3.12,14.63,62.92577498,3
,,,,,,,,
Desert,Methyl jasmonate,10,129,31,6.84,19.46,74.17978543,2
,,,,,,,,
Desert,Methyl jasmonate,10,130,24,3.05,33.54,63.91242938,4
,,,,,,,,
Desert,Methyl jasmonate,10,130,26,3.59,24.48,66.73083337,4
,,,,,,,,
Desert,Methyl jasmonate,10,130,29,3.01,21.31,57.40761416,3
,,,,,,,,
Desert,Methyl jasmonate,11,131,31,,15.04,73.68475577,5
,,,,,,,,
Desert,Methyl jasmonate,11,131,31,,14.14,62.36924201,4
,,,,,,,,
Desert,Methyl jasmonate,11,131,26,6.82,20.98,73.08355678,4
,,,,,,,,
Desert,Methyl jasmonate,11,132,29,4.14,13.62,73.64102224,4
,,,,,,,,
Desert,Methyl jasmonate,11,132,,,14.68,,
,,,,,,,,
Desert,Methyl jasmonate,11,132,,4.06,,,
,,,,,,,,
Desert,Methyl jasmonate,11,133,,,,,
,,,,,,,,
Desert,Methyl jasmonate,11,133,,,,,
,,,,,,,,
Desert,Methyl jasmonate,11,133,,,,,
,,,,,,,,
Desert,Methyl jasmonate,12,134,24,7.08,16.75,52.31247246,4
,,,,,,,,
Desert,Methyl jasmonate,12,134,25,5.43,10.4,,4
,,,,,,,,
Desert,Methyl jasmonate,12,134,,,24.41,,
,,,,,,,,
Desert,Methyl jasmonate,12,135,26,5.43,17.32,59.44881387,2
,,,,,,,,
Desert,Methyl jasmonate,12,135,31,3.62,26.06,58.2955665,
,,,,,,,,
Desert,Methyl jasmonate,12,135,37,3.86,,64.23352986,
,,,,,,,,
Desert,Methyl jasmonate,13,136,,4.94,24.4,49.45267131,4
,,,,,,,,
Desert,Methyl jasmonate,13,136,,5.09,13.51,74.39623515,4
,,,,,,,,
Desert,Methyl jasmonate,13,136,,1.74,11.81,77.54976702,
,,,,,,,,
Desert,Methyl jasmonate,13,137,,3.98,,80.81611313,5
,,,,,,,,
Desert,Methyl jasmonate,13,137,,5.58,,70.22796972,4
,,,,,,,,
Desert,Methyl jasmonate,13,137,,4.68,,79.36117345,5
,,,,,,,,
Desert,Methyl jasmonate,13,138,24,,,48.77060275,5
,,,,,,,,
Desert,Methyl jasmonate,13,138,36,7.71,,63.85565348,5
,,,,,,,,
Desert,Methyl jasmonate,13,138,24,,,71.7271476,5
,,,,,,,,
Desert,Methyl jasmonate,13,139,26,6.76,,58.77691645,5
,,,,,,,,
Desert,Methyl jasmonate,13,139,24,5.73,,59.30898579,3
,,,,,,,,
Desert,Methyl jasmonate,13,139,26,3.82,,77.79315481,4
,,,,,,,,
